timetable_id,department_id,year,section,semester,academic_year,day,period,time,subject_id,room_id,faculty_id,lab_or_theory,effective_from,effective_until
TT0041,D01,I,A,1,2026-2027,Tuesday,P5,01:20-02:10,SUB001,R011,F003,theory,2026-07-15,2026-11-22
TT0042,D01,I,A,1,2026-2027,Tuesday,P6,02:10-03:00,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0043,D01,I,A,1,2026-2027,Wednesday,P1,09:00-09:50,SUB001,R011,F002,theory,2026-07-15,2026-11-22
TT0044,D01,I,A,1,2026-2027,Wednesday,P2,09:50-10:40,SUB002,R011,F003,theory,2026-07-15,2026-11-22
TT0045,D01,I,A,1,2026-2027,Wednesday,P3,10:55-11:45,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0046,D01,I,A,1,2026-2027,Wednesday,P4,11:45-12:35,SUB002,R011,F002,theory,2026-07-15,2026-11-22
TT0047,D01,I,A,1,2026-2027,Wednesday,P5,01:20-02:10,SUB001,R011,F003,theory,2026-07-15,2026-11-22
TT0048,D01,I,A,1,2026-2027,Wednesday,P6,02:10-03:00,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0049,D01,I,A,1,2026-2027,Thursday,P1,09:00-09:50,SUB001,R011,F002,theory,2026-07-15,2026-11-22
TT0050,D01,I,A,1,2026-2027,Thursday,P2,09:50-10:40,SUB002,R011,F003,theory,2026-07-15,2026-11-22
TT0051,D01,I,A,1,2026-2027,Thursday,P3,10:55-11:45,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0052,D01,I,A,1,2026-2027,Thursday,P4,11:45-12:35,SUB002,R011,F002,theory,2026-07-15,2026-11-22
TT0053,D01,I,A,1,2026-2027,Thursday,P5,01:20-02:10,SUB001,R011,F003,theory,2026-07-15,2026-11-22
TT0054,D01,I,A,1,2026-2027,Thursday,P6,02:10-03:00,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0055,D01,I,A,1,2026-2027,Friday,P1,09:00-09:50,SUB001,R011,F002,theory,2026-07-15,2026-11-22
TT0056,D01,I,A,1,2026-2027,Friday,P2,09:50-10:40,SUB002,R011,F003,theory,2026-07-15,2026-11-22
TT0057,D01,I,A,1,2026-2027,Friday,P3,10:55-11:45,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0058,D01,I,A,1,2026-2027,Friday,P4,11:45-12:35,SUB002,R011,F002,theory,2026-07-15,2026-11-22
TT0059,D01,I,A,1,2026-2027,Friday,P5,01:20-02:10,SUB001,R011,F003,theory,2026-07-15,2026-11-22
TT0060,D01,I,A,1,2026-2027,Friday,P6,02:10-03:00,SUB003,R019,F004,lab,2026-07-15,2026-11-22
TT0061,D06,II,A,3,2026-2027,Monday,P1,09:00-09:50,SUB023,R022,F014,theory,2026-07-15,2026-11-22
TT0062,D06,II,A,3,2026-2027,Monday,P2,09:50-10:40,SUB024,R022,F015,theory,2026-07-15,2026-11-22
TT0063,D06,II,A,3,2026-2027,Monday,P3,10:55-11:45,SUB023,R029,F016,lab,2026-07-15,2026-11-22
TT0064,D06,II,A,3,2026-2027,Monday,P4,11:45-12:35,SUB024,R022,F014,theory,2026-07-15,2026-11-22
TT0065,D06,II,A,3,2026-2027,Monday,P5,01:20-02:10,SUB023,R022,F015,theory,2026-07-15,2026-11-22
TT0066,D06,II,A,3,2026-2027,Monday,P6,02:10-03:00,SUB024,R022,F016,theory,2026-07-15,2026-11-22
TT0067,D06,II,A,3,2026-2027,Tuesday,P1,09:00-09:50,SUB023,R022,F014,theory,2026-07-15,2026-11-22
TT0068,D06,II,A,3,2026-2027,Tuesday,P2,09:50-10:40,SUB024,R022,F015,theory,2026-07-15,2026-11-22
TT0069,D06,II,A,3,2026-2027,Tuesday,P3,10:55-11:45,SUB023,R029,F016,lab,2026-07-15,2026-11-22
TT0070,D06,II,A,3,2026-2027,Tuesday,P4,11:45-12:35,SUB024,R022,F014,theory,2026-07-15,2026-11-22
TT0071,D06,II,A,3,2026-2027,Tuesday,P5,01:20-02:10,SUB023,R022,F015,theory,2026-07-15,2026-11-22
TT0072,D06,II,A,3,2026-2027,Tuesday,P6,02:10-03:00,SUB024,R022,F016,theory,2026-07-15,2026-11-22
TT0073,D06,II,A,3,2026-2027,Wednesday,P1,09:00-09:50,SUB023,R022,F014,theory,2026-07-15,2026-11-22
TT0074,D06,II,A,3,2026-2027,Wednesday,P2,09:50-10:40,SUB024,R022,F015,theory,2026-07-15,2026-11-22
TT0075,D06,II,A,3,2026-2027,Wednesday,P3,10:55-11:45,SUB023,R029,F016,lab,2026-07-15,2026-11-22
TT0076,D06,II,A,3,2026-2027,Wednesday,P4,11:45-12:35,SUB024,R022,F014,theory,2026-07-15,2026-11-22
TT0077,D06,II,A,3,2026-2027,Wednesday,P5,01:20-02:10,SUB023,R022,F015,theory,2026-07-15,2026-11-22
TT0078,D06,II,A,3,2026-2027,Wednesday,P6,02:10-03:00,SUB024,R022,F016,theory,2026-07-15,2026-11-22
TT0079,D06,II,A,3,2026-2027,Thursday,P1,09:00-09:50,SUB023,R022,F014,theory,2026-07-15,2026-11-22
TT0080,D06,II,A,3,2026-2027,Thursday,P2,09:50-10:40,SUB024,R022,F015,theory,2026-07-15,2026-11-22
TT0081,D06,II,A,3,2026-2027,Thursday,P3,10:55-11:45,SUB023,R029,F016,lab,2026-07-15,2026-11-22
TT0082,D06,II,A,3,2026-2027,Thursday,P4,11:45-12:35,SUB024,R022,F014,theory,2026-07-15,2026-11-22
TT0083,D06,II,A,3,2026-2027,Thursday,P5,01:20-02:10,SUB023,R022,F015,theory,2026-07-15,2026-11-22
TT0084,D06,II,A,3,2026-2027,Thursday,P6,02:10-03:00,SUB024,R022,F016,theory,2026-07-15,2026-11-22
TT0085,D06,II,A,3,2026-2027,Friday,P1,09:00-09:50,SUB023,R022,F014,theory,2026-07-15,2026-11-22
TT0086,D06,II,A,3,2026-2027,Friday,P2,09:50-10:40,SUB024,R022,F015,theory,2026-07-15,2026-11-22
TT0087,D06,II,A,3,2026-2027,Friday,P3,10:55-11:45,SUB023,R029,F016,lab,2026-07-15,2026-11-22
TT0088,D06,II,A,3,2026-2027,Friday,P4,11:45-12:35,SUB024,R022,F014,theory,2026-07-15,2026-11-22
TT0089,D06,II,A,3,2026-2027,Friday,P5,01:20-02:10,SUB023,R022,F015,theory,2026-07-15,2026-11-22
TT0090,D06,II,A,3,2026-2027,Friday,P6,02:10-03:00,SUB024,R022,F016,theory,2026-07-15,2026-11-22
