faq_id,question,answer,category,related_entity_type,related_entity_id
FAQ14,Which block is the CSE department in?,"The CSE department is in RV Block, the main building. First-year CSE students attend classes in RV-301 to RV-305 on the third floor. Computer Labs are on the second floor.",academic,department,D01
FAQ15,What does ICE stand for?,"ICE stands for Instrumentation and Control Engineering. It is housed in KS Block along with ECE, EEE, and IT departments. The ICE department covers process control, PLCs, sensors, and industrial automation.",academic,department,D08
FAQ16,What does JS-CH mean?,"JS-CH is an alternate name for BD Block. BD Block is also referred to as the JS-CH Block. It houses the AIML, AIDS, CSBS, and Civil Engineering departments.",building,building,B03
FAQ17,How do I join a club?,Visit the club's open house session in the first two weeks of semester (announced via the college portal and notice boards). Fill the club registration form and get it signed by the faculty coordinator. Most clubs have no registration fee.,registration,office,OFF09
FAQ18,Is there a hostel on campus?,"Yes. The campus has separate hostels for male and female students located in the Hostel Complex on the north side of campus. Contact: ganga.warden@sce.edu (Men's), kaveri.warden@sce.edu (Women's). Apply online at forms.sce.edu/hostel before the semester starts.",campus,building,B09
FAQ19,How do I pay my semester fees?,"Pay online at fees.sce.edu using UPI, net banking, or debit card. For offline payment, visit the Accounts Office on the Ground Floor of RV Block. Payment deadline for first-year students is 31 July 2026.",fees,office,OFF03
FAQ20,How do I get my hall ticket?,"Hall tickets are issued by the Exam Cell one week before semester-end exams. Collect from the Exam Cell (First Floor, RV Block) with your student ID. Students with fee dues or insufficient attendance may not receive hall tickets.",exam,office,OFF04
FAQ21,Where is the Mechanical department?,"The Mechanical Engineering (MECH) department is in ME Block, located at the far end of campus. The ME Workshop for hands-on practice is adjacent to ME Block. Labs include CAD/CAM Lab and Thermodynamics Lab.",academic,department,D10
FAQ22,How do I apply for an OD?,Fill the OD request form (available at forms.sce.edu/od or from your department HOD office). Attach the event invitation or proof of participation. Submit to your HOD at least 2 days before the event. Collect the approved OD letter before the event.,registration,office,OFF09
FAQ23,Is there a medical room on campus?,"Yes. The Medical Room is on the Ground Floor of RV Block. A campus nurse is available Monday to Friday, 09:00 AM to 04:00 PM. For emergencies, call +91-9876540209 or contact campus security at +91-9876540100.",campus,facility,FAC03
FAQ24,Where can I park my bike or vehicle?,The Parking Area is near the Main Gate. Students require a parking permit issued by the Transport Office. Two-wheeler and four-wheeler parking zones are clearly marked. The area is open 24x7.,campus,facility,FAC04
FAQ25,How do I report ragging?,"Report any act of ragging immediately to the Anti-Ragging Committee. Call the national helpline: 1800-180-5522 (toll-free, 24x7). You can also approach the Principal Office or submit a complaint at antiragging.in. All complaints are strictly confidential.",support,student_support,SUP02
FAQ26,Is there counseling available?,"Yes. The Student Counseling Centre offers free counseling for academic stress, career uncertainty, and personal challenges. Contact Ms. A. Preethi (Counselor) at counseling@sce.edu or +91-9876540250. Available Mon–Fri 09:00 AM to 05:00 PM. Appointments via the student portal.",support,student_support,SUP03
FAQ27,Where can I photocopy or print documents?,"The Reprography/Xerox shop is on the Ground Floor of RV Block, near the library. Open Monday to Saturday, 09:00 AM to 06:00 PM. Services include photocopying, printing, and spiral binding.",campus,facility,FAC10
FAQ28,How do I get from the main gate to BD Block?,"From the Main Gate, walk straight along the main road to RV Block (2 minutes). From RV Block, take the central pathway east. BD Block is visible ahead and reachable in approximately 3 minutes (total ~5 minutes from the gate).",navigation,building,B03
FAQ29,What clubs are available?,"The college has 12 active clubs including Neural Nexus (AI/ML), CodeForge (Programming), CircuitSphere (Electronics), RoboWorks (Robotics), Data Mavericks (Data Science), Cyber Sentinels (Cybersecurity), Pixel Studio (Design), SpeakUp Forum (Debate), and more. Register during the first two weeks of semester.",club,,
FAQ30,What is the WiFi password?,"Campus WiFi password defaults to your date of birth (DDMMYYYY) followed by the last 2 digits of your register number. Connect to 'SCE_CAMPUS' and enter this at the login page. Change your password after first login. For help, contact IT Support at +91-9876540210.",it,it_onboarding,ITO01
FAQ31,What are the placement companies visiting this year?,"Companies scheduled for the 2026–27 placement season include Infosys (5 Oct), TCS (15 Oct), Wipro (22 Oct), HCL Technologies (2 Nov), and Cognizant (12 Nov). Final-year students from eligible departments should register at the Placement Cell with their updated resume.",placement,office,OFF05
FAQ32,What is the minimum CGPA for placement?,Most companies visiting campus require a minimum CGPA of 6.0. Some companies like Wipro require 6.5 CGPA. Check the specific eligibility criteria for each company on the Placement Cell notice board or portal.sce.edu/placements.,placement,office,OFF05
FAQ33,What is the total semester fee for CSE?,"The total annual fee for CSE is approximately Rs. 1,02,000 (tuition Rs. 90,000 + lab Rs. 5,000 + library Rs. 2,000 + exam Rs. 3,000 + misc Rs. 2,000). Fees for second year onwards include higher lab fees. Check the exact breakdown at fees.sce.edu.",fees,department,D01
FAQ34,Where do I submit a leave application?,"Submit your leave application to your class advisor. The form is available at forms.sce.edu/leave or from the department office. For leave exceeding 3 days, attach a parent/guardian letter. The advisor will update your attendance record.",registration,office,OFF09
FAQ35,What bus routes are available?,"The college operates 10 bus routes covering Tambaram, Chromepet, Velachery, Porur, Avadi, Perambur, Sholinganallur, Guindy, Maduravoyal, and Sriperumbudur. All buses arrive at the Main Gate by 08:00 AM and depart at 05:30 PM. Apply for a bus pass at the Transport Office.",transport,office,OFF08
